candidate_order,grid_ordinal,batch_id,method,e,bh,trw,k,w,m,entry_fill_mode,entry_execution_policy,entry_slippage,speed_window_bars,baseline_sampling_policy,combo_id,strategy_id,exit_mode,speed_exit_enabled,rebound_exit_enabled,train_trade_count,train_return,train_return_excluding_gap_spanning_trades,train_avg_trade,train_max_drawdown,gap_spanning_trade_count,high_single_bar_share_ge_0p8_count,signal_single_bar_share_median,signal_single_bar_share_p95,synthetic_signal_trade_count,segment_end_exit_count,rebound_exit_count,speed_exit_count,scenario_1_qualified,scenario_2_qualified,scenario_3_qualified,qualified_scenario_count,scenario_schema_id,scenario_selection_mode,train_max_drawdown_abs,source_campaign_id,source_stage_id,source_stage_root,source_plan_fingerprint,source_stage_key,scenario_3_qualified_segment_count,scenario_3_failed_segment_ids,train_cost_adjusted_return,train_cost_adjusted_avg_trade,train_cost_adjusted_max_drawdown,train_cost_adjusted_max_drawdown_abs,round_trip_cost_bps,estimated_total_commission_quote,estimated_total_slippage_quote,estimated_total_cost_quote,cost_quote_currency,cost_model_id,estimated_total_commission_krw,estimated_total_slippage_krw,estimated_total_cost_krw,waited_entry_count,maximum_entry_wait_bars,holding_bar_distance_median,holding_bar_distance_p95,scenario_3_cost_adjusted_return_rank,scenario_3_gross_return_rank,scenario_3_total_return_rank,scenario_3_diagnostic_rank,e_family,bh_family,selection_role,previous_test_evaluation
1,1,batch_00001,rolling_tr_sum,480,171,12,1.26,7,4.5,calculated_threshold,wait_next_real_trade,0.0,388,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s388_rx1_e480_bh171_trw12_k1p26_w7_m4p5_7b92db0421,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,113,0.8993458383272726,0.032002177880531,0.0059283115479807,-0.145397183135348,36,4,0.206349206349157,0.532157506152625,64,1,34,78,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.145397183135348,v4_4_positive_entry_signal_repair_20260805,continuation_round_07_w_expansion_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_07_w_expansion_all_window,3c1af829e3d4b2e3f122f3dda1a12edff04f21f28720edc1d20e6baf1a8101db,v4_4_positive_entry_signal_repair_20260805::continuation_round_07_w_expansion_all_window,0,market_01|market_02|market_03,0.8246636778350547,0.0055714451885337,-0.152432619913382,0.152432619913382,3.568663594470046,980862.6,1250571.0,2231433.6,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,980862.6,1250571.0,2231433.6,2,1,613.0,1560.9999999999998,,,,9450.0,,,training_headline_control,True
2,65,batch_00009,rolling_tr_sum,96,612,24,1.6,16,2.0,calculated_threshold,wait_next_real_trade,0.0,308,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s308_rx1_e96_bh612_trw24_k1p6_w16_m2_f621cb27e5,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,25,0.3642632521971491,0.1388475809760583,0.012748302140503,-0.0281008893419314,6,1,0.1893764434180108,0.4703583061888854,13,0,11,14,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0281008893419314,v4_4_positive_entry_signal_repair_20260805,continuation_round_15_dual_purpose_broad_and_single_axis_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_15_dual_purpose_broad_and_single_axis_all_window,9b49f80e28972524a859332a57b35a5912a9302ede9ada7770a045f8e3d40920,v4_4_positive_entry_signal_repair_20260805::continuation_round_15_dual_purpose_broad_and_single_axis_all_window,0,market_01|market_02|market_03,0.3522898896955595,0.012391435781056,-0.0301899797055136,0.0301899797055136,3.568663594470046,217005.00000000003,276675.0,493680.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,217005.00000000003,276675.0,493680.0,0,0,469.0,2066.199999999998,,,,10312.0,,,training_headline_control,True
3,3591,batch_00300,rolling_tr_sum,320,240,22,1.0,6,4.5,calculated_threshold,wait_next_real_trade,0.0,330,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s330_rx1_e320_bh240_trw22_k1_w6_m4p5_38781785af,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,89,0.6083607677498388,0.0907948500235271,0.0055461239563313,-0.1032122819023357,26,2,0.1830985915492887,0.4802953391785959,54,0,25,64,True,True,False,2,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1032122819023357,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,2,market_03,0.5583257021671111,0.0051892575968843,-0.1080687105897001,0.1080687105897001,3.568663594470046,772537.8,984963.0,1757500.8,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,772537.8,984963.0,1757500.8,0,0,542.0,1427.999999999999,,,,15.0,,,training_headline_control,True
4,2313,batch_00193,rolling_tr_sum,320,171,11,1.4,6,4.5,calculated_threshold,wait_next_real_trade,0.0,384,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s384_rx1_e320_bh171_trw11_k1p4_w6_m4p5_8b24f371f1,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,115,0.7881792042800126,0.0662394410454239,0.0052906979591082,-0.1449260854189421,35,3,0.206349206349157,0.5112745098039233,69,1,36,78,False,True,False,1,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1449260854189421,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,1,market_01|market_03,0.7166059456419254,0.0049338315996612,-0.1516625147932396,0.1516625147932396,3.568663594470046,998223.0,1272705.0,2270928.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,998223.0,1272705.0,2270928.0,1,1,570.0,1493.5999999999997,,,,1910.0,,,training_headline_control,True
5,26,batch_00004,rolling_tr_sum,680,72,32,2.2,6,0.5,calculated_threshold,wait_next_real_trade,0.0,36,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s36_rx1_e680_bh72_trw32_k2p2_w6_m0p5_3308e99efd,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,20,0.0270079421635955,0.0270079421635955,0.0013357021010261,-0.0021834692523724,0,2,0.1396959552093433,1.0,15,0,19,1,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0021834692523724,v4_4_positive_entry_signal_repair_20260805,continuation_round_100_ai_adaptive_grid_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_100_ai_adaptive_grid_all_window,1e94b22e13162fa2457968f51b99030fae16267b18279619181831db3b4d1bae,v4_4_positive_entry_signal_repair_20260805::continuation_round_100_ai_adaptive_grid_all_window,0,market_01|market_02|market_03,0.0197123258990432,0.0009788357415791,-0.002743348400961,0.002743348400961,3.568663594470046,173604.0,221340.0,394944.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,173604.0,221340.0,394944.0,1,2,12.0,58.45000000000003,,,,19733.0,,,training_headline_control,False
6,51,batch_00007,rolling_tr_sum,42,360,4,1.5,96,0.8,calculated_threshold,wait_next_real_trade,0.0,120,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s120_rx1_e42_bh360_trw4_k1p5_w96_m0p8_d4c2c3d1da,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,802,0.8421733626675401,0.5407936309322863,0.0007878973807698,-0.0680408445401271,30,57,0.3888888888888702,0.8875766087844696,331,1,686,115,False,True,False,1,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0680408445401271,v4_4_positive_entry_signal_repair_20260805,continuation_round_90_ai_generated_leap_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_90_ai_generated_leap_all_window,a09bb01440deb2c014b47acc312733f80d971e82dc7050a071a10d3dba9e24be,v4_4_positive_entry_signal_repair_20260805::continuation_round_90_ai_generated_leap_all_window,2,market_01,0.3838907509138223,0.0004310310213228,-0.0923919434172031,0.0923919434172031,3.568663594470046,6961520.4,8875734.0,15837254.4,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,6961520.4,8875734.0,15837254.4,3,7,32.0,330.0,,,,787.0,,,training_headline_control,False
7,4511,batch_00376,rolling_tr_sum,480,171,12,1.26,6,4.5,calculated_threshold,wait_next_real_trade,0.0,388,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s388_rx1_e480_bh171_trw12_k1p26_w6_m4p5_dd126130ba,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,112,0.8983434667297963,0.0467948207723716,0.0059751926664466,-0.1450343956109342,35,4,0.2061157796451667,0.5385356849877412,66,1,35,76,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1450343956109342,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,0,market_01|market_02|market_03,0.8243515245669681,0.0056183263069996,-0.151769994194321,0.151769994194321,3.568663594470046,972182.4,1239504.0,2211686.4,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,972182.4,1239504.0,2211686.4,2,1,606.0,1578.25,,,,9451.0,,,training_headline_control,True
8,21,batch_00003,rolling_tr_sum,689,171,12,1.26,7,4.5,calculated_threshold,wait_next_real_trade,0.0,388,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s388_rx1_e689_bh171_trw12_k1p26_w7_m4p5_9f23a330a5,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,109,0.8907252126475114,0.0296294820566058,0.0061006375521095,-0.1343705925962833,36,4,0.206349206349157,0.5576702214930916,62,1,35,73,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1343705925962833,v4_4_positive_entry_signal_repair_20260805,continuation_round_58_ai_adaptive_grid_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_58_ai_adaptive_grid_all_window,8f0065fa16490d9a66afeb0ad4b32c9c01b7ed9fb2468311458a5b70d96fcea9,v4_4_positive_entry_signal_repair_20260805::continuation_round_58_ai_adaptive_grid_all_window,0,market_01|market_02|market_03,0.8189744365501355,0.0057437711926625,-0.1411863686974082,0.1411863686974082,3.568663594470046,946141.8,1206303.0,2152444.8000000003,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,946141.8,1206303.0,2152444.8000000003,1,2,616.0,1565.9999999999998,,,,9452.0,6.0,2.0,training_headline_control,True
9,13,batch_00002,rolling_tr_sum,408,171,12,1.26,7,4.5,calculated_threshold,wait_next_real_trade,0.0,388,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s388_rx1_e408_bh171_trw12_k1p26_w7_m4p5_7a4d9bb6a0,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,116,0.8339074606773411,-0.0018012047879076,0.0054759330113191,-0.1547072228043344,36,4,0.2061157796451667,0.5130229696472765,66,1,37,78,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1547072228043344,v4_4_positive_entry_signal_repair_20260805,continuation_round_22_ai_adaptive_grid_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_22_ai_adaptive_grid_all_window,7a38346b0871bada0be3aa94023ee9e465ff2d568b3c1dbcbd88e2592e506367,v4_4_positive_entry_signal_repair_20260805::continuation_round_22_ai_adaptive_grid_all_window,0,market_01|market_02|market_03,0.7598905637919458,0.0051190666518721,-0.1622675531473245,0.1622675531473245,3.568663594470046,1006903.2,1283772.0,2290675.2,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,1006903.2,1283772.0,2290675.2,0,0,587.0,1557.25,,,,9581.0,,,training_multimetric_new_exact,False
10,6,batch_00001,rolling_tr_sum,96,612,24,1.6,16,2.0,calculated_threshold,wait_next_real_trade,0.0,770,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s770_rx1_e96_bh612_trw24_k1p6_w16_m2_cf8364842f,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,25,0.2661772028521454,0.0771401493013026,0.0097303395366014,-0.0390368422546661,7,1,0.1893764434180108,0.4703583061888854,13,0,19,6,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0390368422546661,v4_4_positive_entry_signal_repair_20260805,continuation_round_79_ai_adaptive_grid_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_79_ai_adaptive_grid_all_window,dcb701e194e30cbed4172663f2e86e18807a9e0535709b495481c6c4bceb8f07,v4_4_positive_entry_signal_repair_20260805::continuation_round_79_ai_adaptive_grid_all_window,0,market_01|market_02|market_03,0.2550316171458227,0.0093734731771544,-0.0400790484773397,0.0400790484773397,3.568663594470046,217005.00000000003,276675.0,493680.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,217005.00000000003,276675.0,493680.0,0,0,694.0,2107.3999999999987,,,,11015.0,,,training_multimetric_new_exact,False
